Site,Domain Name,Similarweb top 50,Category
Zoom,zoom.us,37 (),Computers Electronics and Technology > Other Computers Electronics and Technology
YouTube,youtube.com,2 (),Arts & Entertainment > Streaming & Online TV
Yandex Turbo Pages,turbopages.org,24 (4),News & Media Publishers
Yandex,yandex.ru,8 (1),Computers Electronics and Technology > Search Engines
Yahoo! News,news.yahoo.co.jp,43 (7),News & Media Publishers
Yahoo JP,yahoo.co.jp,15 (),News & Media Publishers
Yahoo,yahoo.com,9 (),News & Media Publishers
xVideos,xvideos.com,10 (1),Adult
Xnxx,xnxx.com,13 (),Adult
xHamster,xhamster.com,26 (),Adult
Wikipedia,wikipedia.org,7 (),Reference Materials > Dictionaries and Encyclopedias
Whatsapp,whatsapp.com,11 (),Computers Electronics and Technology > Social Media Networks
Weather,weather.com,27 (1),Science and Education > Weather
VK,vk.com,25 (),Computers Electronics and Technology > Social Media Networks
Twitter,twitter.com,4 (),Computers Electronics and Technology > Social Media Networks
Twitch,twitch.tv,28 (),Games > Video Games Consoles and Accessories
TikTok,tiktok.com,19 (),Computers Electronics and Technology > Social Media Networks
Stripchat,stripchat.com,48 (5),Adult
Samsung,samsung.com,23 (2),Computers Electronics and Technology > Consumer Electronics
Roblox,roblox.com,33 (3),Games > Video Games Consoles and Accessories
Reddit,reddit.com,18 (1),Computers Electronics and Technology > Social Media Networks
RealSRV,realsrv.com,44 (2),Adult
Quora,quora.com,42 (1),Reference Materials > Dictionaries and Encyclopedias
QQ,qq.com,38 (2),News & Media Publishers
Pornhub,pornhub.com,12 (),Adult
Pinterest,pinterest.com,36 (2),Computers Electronics and Technology > Social Media Networks
OK.ru,ok.ru,50 (1),Computers Electronics and Technology > Social Media Networks
Office,office.com,22 (1),Computers Electronics and Technology > Programming and Developer Software
Netflix,netflix.com,17 (),Arts & Entertainment > Streaming & Online TV
Naver,naver.com,30 (1),News & Media Publishers
MSN,msn.com,46 (1),News & Media Publishers
Microsoft Online,microsoftonline.com,35 (6),Computers Electronics and Technology > Programming and Developer Software
Microsoft,microsoft.com,40 (1),Computers Electronics and Technology > Programming and Developer Software
Mail.Ru,mail.ru,29 (2),Computers Electronics and Technology > Email
Live,live.com,16 (),Computers Electronics and Technology > Email
LinkedIn,linkedin.com,21 (1),Computers Electronics and Technology > Social Media Networks
Instagram,instagram.com,5 (),Computers Electronics and Technology > Social Media Networks
Google Search,google.com,1 (),Computers Electronics and Technology > Search Engines
Globo,globo.com,47 (3),News & Media Publishers
Fandom,fandom.com,41 (2),Arts & Entertainment > Other Arts and Entertainment
Facebook,facebook.com,3 (),Computers Electronics and Technology > Social Media Networks
eBay,ebay.com,45 (1),eCommerce & Shopping > Marketplace
DuckDuckGo,duckduckgo.com,39 (1),Computers Electronics and Technology > Search Engines
Docomo,docomo.ne.jp,20 (),Computers Electronics and Technology > Telecommunications
Discord,discord.com,31 (),Computers Electronics and Technology > Social Media Networks
Booking,booking.com,49 (1),Travel and Tourism > Accommodation and Hotels
Bing,bing.com,32 (1),Computers Electronics and Technology > Search Engines
Bilibili,bilibili.com,34 (),Arts & Entertainment > Animation and Comics
Baidu,baidu.com,6 (),Computers Electronics and Technology > Search Engines
Amazon,amazon.com,14 (),eCommerce & Shopping > Marketplace